Date,Time,Counted by:,Site,Volume Filtered (ml),Frames counted,Volume counted,Species, Cells Counted , Cells/L ,SRC_method
08/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Gonyaulax polygramma,112,22400,560000
08/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,26,5200,130000
08/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium diabolum,1,200,5000
08/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protocentrum micans,3,600,15000
08/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium fusus,2,400,10000
09/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium furca,19,3800,95000
09/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Gonyaulax polygramma,28,5600,140000
09/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,43,8600,215000
09/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protocentrum micans,2,400,10000
09/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium fusus,3,600,15000
10/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium furca,1,200,5000
10/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Gonyaulax polygramma,2,400,10000
10/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,10,2000,50000
10/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium fusus,1,200,5000
13/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium furca,3,600,15000
13/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,4,800,20000
14/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Ceratium furca,5,1000,25000
14/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium conicum,1,200,5000
14/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Protoperidinium diabolum,1,200,5000
15/03/2017,08:00,Lorna,Primary sump,5000,1,0.001,Gonyaulax polygramma,1,200,5000
