Date,Time,Counted by:,Site,Volume Filtered (ml),Frames counted,Volume counted,Species, Cells Counted , Cells/L ,,Yellow_block,RG_meth,SRC_method
25/01/2018,14:00:00,Nuette,Primary Sump,5000,30,0.03,Ceratium tripos,27,180,900,4500,135,30000
25/01/2018,14:00:00,Nuette,Primary Sump,5000,30,0.03,Rhizosolenia,18,120,600,3000,90,20000
25/01/2018,14:00:00,Nuette,Primary Sump,5000,30,0.03,Thallasiosira,14,93,467,2333.333333,70,15500
25/01/2018,14:00:00,Nuette,Primary Sump,5000,30,0.03,Ceratium furca,12,80,400,2000,60,13333.33333
25/01/2018,14:00:00,Nuette,Primary Sump,5000,30,0.03,Gonyaulax polygramma polygramma,4,27,133,666.6666667,20,4500
11/01/2017,08:00:00,Lorna,Primary sump,5000,27,0.027,Gonyaulax polygramma,44,326,1 630,8148.148148,220,60370.37037
11/01/2017,08:00:00,Lorna,Primary sump,5000,27,0.027,Protoperidinium diabolum,7,52,259,1296.296296,35,9629.62963
11/01/2017,08:00:00,Lorna,Primary sump,5000,27,0.027,Ceratium furca,5,37,185,925.9259259,25,6851.851852
11/01/2017,08:00:00,Lorna,Primary sump,5000,27,0.027,Protoperidinium conicum,5,37,185,925.9259259,25,6851.851852
11/01/2017,08:00:00,Lorna,Primary sump,5000,27,0.027,Chaetoceros sp.,3,22,111,555.5555556,15,4074.074074
11/01/2017,08:00:00,Lorna,Primary sump,5000,27,0.027,Protoperidinium oceanicum,2,15,74,370.3703704,10,2777.777778
08/03/2019,05:00:00,Pertunia,Primary sump,5000,25,0.025,All species,7 130,57 040,285 200,1426000,35650,11408000
20/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,1979,16 492,82 458,412291.6667,9895,3435833.333
19/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,1253,10 442,52 208,261041.6667,6265,2175416.667
20/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,1160,9 667,48 333,241666.6667,5800,2013958.333
17/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,496,4 133,20 667,103333.3333,2480,861041.6667
17/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Lingulodinium polyedrum,180,1 500,7 500,37500,900,312500
10/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,123,1 025,5 125,25625,615,213541.6667
02/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,119,992,4 958,24791.66667,595,206666.6667
17/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,110,917,4 583,22916.66667,550,191041.6667
17/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,96,800,4 000,20000,480,166666.6667
13/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,89,742,3 708,18541.66667,445,154583.3333
19/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Lingulodinium polyedrum,65,542,2 708,13541.66667,325,112916.6667
13/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,63,525,2 625,13125,315,109375
19/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,59,492,2 458,12291.66667,295,102500
20/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,47,392,1 958,9791.666667,235,81666.66667
20/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,42,350,1 750,8750,210,72916.66667
02/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,26,217,1 083,5416.666667,130,45208.33333
02/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,22,183,917,4583.333333,110,38125
17/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax spinifera,17,142,708,3541.666667,85,29583.33333
13/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,16,133,667,3333.333333,80,27708.33333
19/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,15,125,625,3125,75,26041.66667
08/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,14,117,583,2916.666667,70,24375
08/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,14,117,583,2916.666667,70,24375
19/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Scrippsiella trochoidea,14,117,583,2916.666667,70,24375
02/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Ceratium dens,13,108,542,2708.333333,65,22500
13/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium oceanicum,12,100,500,2500,60,20833.33333
19/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Karenia cristata,12,100,500,2500,60,20833.33333
20/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,12,100,500,2500,60,20833.33333
19/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium oceanicum,11,92,458,2291.666667,55,19166.66667
17/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium diabolum,9,75,375,1875,45,15625
17/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Scrippsiella trochoidea,7,58,292,1458.333333,35,12083.33333
19/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Pseudo-nitzschia australis,7,58,292,1458.333333,35,12083.33333
10/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,5,42,208,1041.666667,25,8750
20/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Noctiluca scintillans,5,42,208,1041.666667,25,8750
10/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Zygabikodinium lenticulatum,4,33,167,833.3333333,20,6875
13/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium diabolum,4,33,167,833.3333333,20,6875
13/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protocentrum micans,4,33,167,833.3333333,20,6875
17/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Karenia cristata,4,33,167,833.3333333,20,6875
17/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Pyrophacus sp.,4,33,167,833.3333333,20,6875
19/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium diabolum,4,33,167,833.3333333,20,6875
20/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Lingulodinium polyedrum,4,33,167,833.3333333,20,6875
23/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,4,33,167,833.3333333,20,6875
10/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Chaetoceros sp.,3,25,125,625,15,5208.333333
10/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,3,25,125,625,15,5208.333333
08/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,2,17,83,416.6666667,10,3541.666667
10/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Ceratium tripos,2,17,83,416.6666667,10,3541.666667
10/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium diabolum,2,17,83,416.6666667,10,3541.666667
13/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Pseudo-nitzschia australis,2,17,83,416.6666667,10,3541.666667
17/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Prorocentrum micans,2,17,83,416.6666667,10,3541.666667
20/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Ceratium tripos,2,17,83,416.6666667,10,3541.666667
23/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,2,17,83,416.6666667,10,3541.666667
23/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,2,17,83,416.6666667,10,3541.666667
08/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Ceratium dens,1,8,42,208.3333333,5,1666.666667
17/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Chaetoceros sp.,1,8,42,208.3333333,5,1666.666667
17/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Ceratium tripos,1,8,42,208.3333333,5,1666.666667
20/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium diabolum,1,8,42,208.3333333,5,1666.666667
20/01/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Zygabikodinium lenticulatum,1,8,42,208.3333333,5,1666.666667
20/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium diabolum,1,8,42,208.3333333,5,1666.666667
20/02/2017,08:00:00,Lorna,Primary sump,5000,24,0.024,Protocentrum micans,1,8,42,208.3333333,5,1666.666667
