Date,Time,Counted by,Site,Volume.Filtered.(ml),Frames.counted,CellsCounted,Cells/L,SRC_method
26/01/2019,16:52,Pertunia,Primary sump,5000,20,1,50,250
27/01/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
27/01/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
27/01/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
27/01/2019,14:00,Pertunia,Primary sump,5000,20,1,50,250
27/01/2019,17:20,Pertunia,Primary sump,5000,20,1,50,250
27/01/2019,17:20,Pertunia,Primary sump,5000,20,1,50,250
27/01/2019,17:20,Pertunia,Primary sump,5000,20,1,50,250
27/01/2019,17:20,Pertunia,Primary sump,5000,20,1,50,250
29/01/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
29/01/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
30/01/2019,08:00,Lorna,Primary sump,5000,20,1,50,250
30/01/2019,15:44,Pertunia,Primary sump,5000,20,1,50,250
31/01/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
31/01/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
31/01/2019,13:30,Pertunia,Primary sump,5000,20,1,50,250
31/01/2019,13:30,Pertunia,Primary sump,5000,20,1,50,250
31/01/2019,13:30,Pertunia,Primary sump,5000,20,1,50,250
31/01/2019,17:00,Pertunia,Primary sump,5000,20,1,50,250
31/01/2019,17:00,Pertunia,Primary sump,5000,20,1,50,250
02/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
02/02/2013,16:28,Pertunia,Primary sump,5000,20,1,50,250
03/02/2019,08:23,Pertunia,Primary sump,5000,20,1,50,250
04/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
04/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
04/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
04/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
04/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
04/02/2019,16:00,Pertunia,Primary sump,5000,20,1,50,250
04/02/2019,16:00,Pertunia,Primary sump,5000,20,1,50,250
04/02/2019,16:00,Pertunia,Primary sump,5000,20,1,50,250
05/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
05/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
05/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
05/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
05/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
05/02/2019,16:26,Pertunia,Primary sump,5000,20,1,50,250
05/02/2019,16:26,Pertunia,Primary sump,5000,20,1,50,250
05/02/2019,16:26,Pertunia,Primary sump,5000,20,1,50,250
05/02/2019,16:26,Pertunia,Primary sump,5000,20,1,50,250
05/02/2019,16:26,Pertunia,Primary sump,5000,20,1,50,250
06/02/2019,08:20,Pertunia,Primary sump,5000,20,1,50,250
06/02/2019,14:00,Pertunia,Primary sump,5000,20,1,50,250
06/02/2019,14:00,Pertunia,Primary sump,5000,20,1,50,250
07/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
07/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
07/02/2019,08:00,Pertunia,Primary sump,5000,20,1,50,250
