Sample,Date,Time,Counted by,Site
621,06/03/2019,21:00,Pertunia,Kelp catchers
622,06/03/2019,22:00,Pertunia,Primary sump
623,06/03/2019,22:00,Pertunia,After Drumfilter
624,06/03/2019,23:00,Pertunia,Primary sump
625,06/03/2019,23:00,Pertunia,After Drumfilter
626,07/03/2019,00:00,Pertunia,Primary sump
627,07/03/2019,00:00,Pertunia,After Drumfilter
628,07/03/2019,02:00,Pertunia,Primary sump
629,07/03/2019,02:00,Pertunia,After Drumfilter
630,07/03/2019,04:00,Pertunia,Primary sump
631,07/03/2019,04:00,Pertunia,After Drumfilter
632,07/03/2019,07:40,Lorna,Primary sump
633,07/03/2019,07:40,Lorna,After Drumfilter
634,07/03/2019,09:30,Sarah,Primary sump
635,07/03/2019,09:39,Sarah,After Drumfilter
636,07/03/2019,11:45,Sarah,Primary sump
637,07/03/2019,11:45,Sarah,After Drumfilter
638,07/03/2019,12:30,Sarah,Primary sump
639,07/03/2019,12:30,Sarah,After Drumfilter
640,07/03/2019,14:15,Sarah,Primary sump
641,07/03/2019,14:15,Sarah,After Drumfilter
642,07/03/2019,15:00,Sarah,Primary sump
643,07/03/2019,15:00,Sarah,After Drumfilter
644,07/03/2019,16:00,Sarah,Primary sump
645,07/03/2019,16:00,Sarah,After Drumfilter
646,07/03/2019,17:00,Sarah,Primary sump
647,07/03/2019,17:00,Sarah,After Drumfilter
648,07/03/2019,20:00,Pertunia,Primary sump
649,07/03/2019,20:00,Pertunia,After Drumfilter
650,07/03/2019,21:00,Pertunia,Primary sump
651,07/03/2019,21:00,Pertunia,After Drumfilter
652,07/03/2019,22:00,Pertunia,Primary sump
653,07/03/2019,22:00,Pertunia,After Drumfilter
654,07/03/2019,23:00,Pertunia,Primary sump
655,07/03/2019,23:00,Pertunia,After Drumfilter
656,07/03/2019,00:00,Pertunia,Primary sump
657,07/03/2019,00:00,Pertunia,After Drumfilter
658,08/03/2019,01:00,Pertunia,Primary sump
659,08/03/2019,01:00,Pertunia,After Drumfilter
660,08/03/2019,02:00,Pertunia,Primary sump
661,08/03/2019,02:00,Pertunia,After Drumfilter
662,08/03/2019,03:00,Pertunia,Kelp catchers
663,08/03/2019,04:00,Pertunia,Primary sump
664,08/03/2019,04:00,Pertunia,After Drumfilter
665,08/03/2019,05:00,Pertunia,Primary sump
666,08/03/2019,05:00,Pertunia,After Drumfilter
667,08/03/2019,07:30,Sarah,Primary sump
668,08/03/2019,07:00,Sarah,After Drumfilter
669,08/03/2019,09:00,Sarah,Primary sump
670,08/03/2019,09:00,Sarah,After Drumfilter
671,08/03/2019,10:45,Sarah,Primary sump
672,08/03/2019,10:45,Sarah,After Drumfilter
673,08/03/2019,13:30,Sarah,Primary sump
674,08/03/2019,15:00,Sarah,After Drumfilter
675,08/03/2019,15:00,Sarah,Primary sump
676,08/03/2019,17:00,Sarah,After Drumfilter
677,08/03/2019,18:00,Sarah,After Drumfilter
678,08/03/2019,18:30,Sarah,Primary sump
679,08/03/2019,19:30,Pertunia,After Drumfilter
680,08/03/2019,20:00,Pertunia,Primary sump
681,08/03/2019,20:00,Pertunia,After Drumfilter
682,08/03/2019,21:00,Pertunia,Primary sump
683,08/03/2019,22:00,Pertunia,After Drumfilter
684,08/03/2019,22:30,Pertunia,Primary sump
685,08/03/2019,03:00,Pertunia,After Drumfilter
686,08/03/2019,23:00,Pertunia,Primary sump
687,08/03/2019,23:00,Pertunia,After Drumfilter
688,08/03/2019,00:00,Pertunia,Primary sump
689,08/03/2019,00:00,Pertunia,After Drumfilter
690,09/03/2019,01:00,Pertunia,Primary sump
691,09/03/2019,01:00,Pertunia,After Drumfilter
692,09/03/2019,02:00,Pertunia,Primary sump
693,09/03/2019,02:00,Pertunia,After Drumfilter
694,09/03/2019,03:00,Pertunia,Primary sump
695,09/03/2019,03:00,Pertunia,After Drumfilter
696,09/03/2019,05:00,Pertunia,Primary sump
697,09/03/2019,05:00,Pertunia,After Drumfilter
698,09/03/2019,07:45,Sarah,Primary sump
699,09/03/2019,07:45,Sarah,After Drumfilter
700,09/03/2019,09:00,Sarah,Primary sump
701,09/03/2019,09:00,Sarah,After Drumfilter
702,09/03/2019,10:00,Sarah,Broodstock
703,09/03/2019,10:00,Sarah,Nursery
704,09/03/2019,10:00,Sarah,Hatchery
705,09/03/2019,10:00,Sarah,Settlement
706,09/03/2019,11:15,Sarah,Primary sump
707,09/03/2019,11:15,Sarah,After Drumfilter
708,09/03/2019,13:30,Sarah,Primary sump
709,09/03/2019,13:30,Sarah,After Drumfilter
710,09/03/2019,15:30,Sarah,Primary sump 
711,09/03/2019,18:00,Sarah,Primary sump
712,09/03/2019,18:00,Sarah,After Drumfilter
713,09/03/2019,20:00,Pertunia,Primary sump
714,09/03/2019,20:00,Pertunia,After Drumfilter
715,09/03/2019,22:00,Pertunia,Primary sump
716,09/03/2019,22:00,Pertunia,After Drumfilter
717,09/03/2019,23:00,Pertunia,Primary sump
718,09/03/2019,23:00,Pertunia,After Drumfilter
719,10/03/2019,01:00,Pertunia,Primary sump
720,10/03/2019,01:00,Pertunia,After Drumfilter
721,10/03/2019,03:00,Pertunia,Primary sump
722,10/03/2019,03:00,Pertunia,After Drumfilter
723,10/03/2019,05:00,Pertunia,Primary sump
724,10/03/2019,05:00,Pertunia,After Drumfilter
725,10/03/2019,07:30,Sarah,Primary sump
726,10/03/2019,07:30,Sarah,After Drumfilter
727,10/03/2019,10:00,Sarah,Primary sump
728,10/03/2019,10:00,Sarah,After Drumfilter
729,10/03/2019,14:00,Sarah,Primary sump
730,10/03/2019,18:00,Pertunia,After Drumfilter
731,10/03/2019,18:00,Pertunia,Primary sump
732,10/03/2019,22:00,Pertunia,After Drumfilter
733,10/03/2019,22:00,Pertunia,Primary sump
734,11/03/2019,02:00,Sarah,After Drumfilter
735,11/03/2019,07:30,Sarah,Primary sump
736,11/03/2019,07:30,Sarah,After Drumfilter
737,11/03/2019,12:00,Chriss-Mart,Primary sump
738,11/03/2019,12:00,Chriss-Mart,After Drumfilter
739,11/03/2019,17:00,Pertunia,Primary sump
740,11/03/2019,17:00,Pertunia,After Drumfilter
741,11/03/2019,00:00,Pertunia,Primary sump
742,11/03/2019,00:00,Pertunia,After Drumfilter
743,12/03/2019,06:00,Sarah,Primary sump
744,12/03/2019,11:00,Sarah,Primary sump
745,12/03/2019,11:00,Sarah,After Drumfilter
746,12/03/2019,11:00,Sarah,Settlement
747,12/03/2019,11:00,Chriss-Mart,Hatchery
748,12/03/2019,11:00,Chriss-Mart,Nursery
749,12/03/2019,11:00,Chriss-Mart,Broodstock
750,12/03/2019,16:00,Chriss-Mart,Primary sump
751,12/03/2019,16:00,Chriss-Mart,After Drumfilter
752,13/03/2019,07:30,Chriss-Mart,Primary sump
753,13/03/2019,07:30,Chriss-Mart,After Drumfilter
754,13/03/2019,14:30,Sarah,Primary sump
755,13/03/2019,16:42,Chriss-Mart,Primary sump
756,14/03/2019,07:45,Chriss-Mart,Primary sump
757,14/03/2019,12:00,Chriss-Mart,Primary sump
758,14/03/2019,12:00,Chriss-Mart,After Drumfilter
759,14/03/2019,15:00,Chriss-Mart,Primary sump
760,14/03/2019,17:00,Pertunia,Primary sump
761,15/03/2019,07:30,Sarah,Primary sump
762,15/03/2019,17:00,Sarah,Primary sump
763,16/03/2019,08:45,Sarah,Primary sump
764,16/03/2019,16:00,Sarah,Primary sump
765,17/03/2019,08:42,Sarah,Primary sump
766,17/03/2019,18:20,Sarah,Primary sump
767,18/03/2019,07:30,Sarah,Primary sump
768,18/03/2019,12:00,Sarah,Primary sump
769,18/03/2019,22:30,Pertunia,Primary sump
770,18/03/2019,22:30,Pertunia,After Drumfilter
771,18/03/2019,11:30,Pertunia,Primary sump
772,18/03/2019,11:30,Pertunia,After Drumfilter
773,19/03/2019,12:30,Pertunia,Primary sump
774,19/03/2019,12:30,Pertunia,After Drumfilter
775,19/03/2019,01:30,Pertunia,Primary sump
776,19/03/2019,01:30,Pertunia,After Drumfilter
777,19/03/2019,02:30,Pertunia,Primary sump
778,19/03/2019,02:30,Pertunia,After Drumfilter
779,19/03/2019,03:30,Pertunia,Primary sump
780,19/03/2019,03:30,Pertunia,After Drumfilter
781,19/03/2019,04:30,Pertunia,Primary sump
782,19/03/2019,04:30,Pertunia,After Drumfilter
783,19/03/2019,06:00,Pertunia,Primary sump
784,19/03/2019,06:00,Pertunia,After Drumfilter
785,19/03/2019,07:30,Sarah,Primary sump
786,19/03/2019,07:30,Sarah,After Drumfilter
787,19/03/2019,08:30,Sarah,Primary sump
788,19/03/2019,08:30,Sarah,After Drumfilter
789,19/03/2019,09:30,Sarah,Primary sump
790,19/03/2019,09:30,Sarah,After Drumfilter
791,19/03/2019,10:30,Sarah,Primary sump
792,19/03/2019,10:30,Sarah,After Drumfilter
793,19/03/2019,12:30,Sarah,Primary sump
794,19/03/2019,12:30,Sarah,After Drumfilter
795,19/03/2019,14:30,Sarah,Primary sump
796,19/03/2019,14:30,Sarah,After Drumfilter
797,19/03/2019,16:30,Sarah,Primary sump
798,19/03/2019,16:30,Sarah,After Drumfilter
799,19/03/2019,18:30,Pertunia,Primary sump
800,19/03/2019,18:30,Pertunia,After Drumfilter
801,19/03/2019,19:30,Pertunia,Primary sump
802,19/03/2019,19:30,Pertunia,After Drumfilter
803,19/03/2019,21:00,Pertunia,Primary sump
804,19/03/2019,21:00,Pertunia,After Drumfilter
