"","Sample","Date","Time","Counted.by","Site","DO..mg.L.","Saturation....","Temperature...C.","N","NH3.N","NH4.N","pH","NO2","PO4","X","Species","Classification","Threat","Cells.Counted","Frames.counted","Total.Count"
"1912",1043,"30/03/2019","07:30:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Octactis","Dictyochophyceae","","1",20,250
"1913",1043,"30/03/2019","07:30:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom","","1",20,250
"1914",1043,"30/03/2019","07:30:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate","","108",20,27000
"1915",1043,"30/03/2019","07:30:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","2",20,500
"1916",1044,"30/03/2019","09:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","108",2,270000
"1917",1045,"30/03/2019","09:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","98",2,245000
"1918",1046,"30/03/2019","10:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","990",2,2475000
"1919",1047,"30/03/2019","10:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","175",2,437500
"1920",1055,"30/03/2019","13:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","HAB","10",20,2500
"1921",1055,"30/03/2019","13:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","121",20,30250
"1922",1055,"30/03/2019","13:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prorocentrum micans","Dinoflagellate","","404",20,101000
"1923",1055,"30/03/2019","13:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","13",20,3250
"1924",1055,"30/03/2019","13:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate","","7",20,1750
"1925",1055,"30/03/2019","13:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium divergens","Dinoflagellate","","3",20,750
"1926",1056,"30/03/2019","14:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","438",20,109500
"1927",1056,"30/03/2019","14:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","HAB","68",20,17000
"1928",1057,"30/03/2019","14:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","188",20,47000
"1929",1057,"30/03/2019","14:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","HAB","30",20,7500
"1930",1057,"30/03/2019","14:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karenia cristata","Dinoflagellate","Toxic","1",20,250
"1931",1058,"30/03/2019","16:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","HAB","53",20,13250
"1932",1058,"30/03/2019","16:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","360",20,90000
"1933",1059,"30/03/2019","16:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","HAB","26",20,6500
"1934",1059,"30/03/2019","16:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","179",20,44750
"1935",1060,"30/03/2019","17:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","304",20,76000
"1936",1061,"30/03/2019","18:00:00","Pertunia","Seaview","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","173",20,43250
"1937",1062,"30/03/2019","18:00:00","Pertunia","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","HAB","12",20,3000
"1938",1062,"30/03/2019","18:00:00","Pertunia","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","243",20,60750
"1939",1063,"30/03/2019","18:00:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","HAB","1",20,250
"1940",1063,"30/03/2019","18:00:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","95",20,23750
"1941",1064,"30/03/2019","19:00:00","Pertunia","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","389",20,97250
"1942",1064,"30/03/2019","19:00:00","Pertunia","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","HAB","39",20,9750
"1943",1065,"30/03/2019","19:00:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","364",20,91000
"1944",1065,"30/03/2019","19:00:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","HAB","66",20,16500
"1945",1066,"30/03/2019","20:30:00","Pertunia","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","385",20,96250
"1946",1066,"30/03/2019","20:30:00","Pertunia","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","HAB","41",20,10250
"1947",1067,"30/03/2019","20:30:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate","HAB","42",20,10500
"1948",1067,"30/03/2019","20:30:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","436",20,109000
"1949",1068,"31/03/2019","08:00:00","Pertunia","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","372",20,93000
"1950",1071,"31/03/2019","11:00:00","Pertunia","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","1817",20,454250
"1951",1078,"01/04/2019","10:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","103",5,103000
"1952",1082,"01/04/2019","14:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","196",5,196000
"1953",1083,"01/04/2019","14:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","83",5,83000
"1954",1084,"01/04/2019","15:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","101",5,101000
"1955",1085,"01/04/2019","15:00:00","Lorna","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","42",5,42000
"1956",1086,"01/04/2019","16:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","40",20,10000
"1957",1087,"01/04/2019","17:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","5",20,1250
"1958",1088,"01/04/2019","18:00:00","Sarah","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","67",5,67000
"1959",1089,"01/04/2019","18:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","27",5,27000
"1960",1090,"01/04/2019","20:00:00","Sarah","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","23",5,23000
"1961",1091,"01/04/2019","20:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","9",5,9000
"1962",1092,"01/04/2019","19:45:00","Sarah","Broodstock","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","","204",20,51000
"1963",1092,"01/04/2019","19:45:00","Sarah","Broodstock","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karenia cristata","Dinoflagellate","","1",20,250
"1964",1093,"01/04/2019","19:45:00","Sarah","Larvae","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","","205",20,51250
"1965",1093,"01/04/2019","19:45:00","Sarah","Larvae","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Karenia cristata","Dinoflagellate","","4",20,1000
"1966",1093,"01/04/2019","19:45:00","Sarah","Larvae","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyst","Various","","3",20,750
"1967",1094,"01/04/2019","22:00:00","Sarah","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","32",5,32000
"1968",1095,"01/04/2019","22:00:00","Sarah","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB Total Count","Various","","24",5,24000
"1969",1096,"02/04/2019","07:45:00","Lorna","Primary sump","",NA,NA,0.08,0.1,0.1,8.13,NA,NA,NA,"HAB Total Count","Various","","32",5,32000
"1970",1097,"02/04/2019","07:45:00","Lorna","After Drumfilter","",NA,NA,0.11,0.13,0.14,8.1,NA,NA,NA,"HAB Total Count","Various","","59",5,59000
"1971",1098,"02/04/2019","10:00:00","Pertunia","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","128",20,32000
"1972",1099,"02/04/2019","10:00:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","","202",20,50500
"1973",1100,"02/04/2019","10:45:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","135",20,33750
"1974",1101,"02/04/2019","11:45:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","254",20,63500
"1975",1102,"02/04/2019","12:30:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","140",20,35000
"1976",1103,"02/04/2019","14:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","108",20,27000
"1977",1104,"02/04/2019","15:20:00","Pertunia","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","84",20,21000
"1978",1105,"02/04/2019","16:00:00","Pertunia","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","183",20,45750
"1979",1106,"02/04/2019","16:00:00","Pertunia","After Drumfilter","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","79",20,19750
"1980",1107,"02/04/2019","17:30:00","Pertunia","Primary sump","7.96",94,13.4,0.09,0.11,0.12,8.6,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","121",20,30250
"1981",1108,"02/04/2019","17:30:00","Pertunia","After Drumfilter","7.69",90.8,13.5,0.15,0.18,0.19,8.72,NA,NA,NA,"Lingulodinium polyedra","Dinoflagellate","HAB","63",20,15750
"1982",1109,"02/04/2019","19:00:00","Pertunia","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate","","5",20,1250
