"","Sample","Date","Time","Counted.by","Site"
"322",37,"01/02/2019","08:00","Pertunia","Primary sump"
"323",37,"01/02/2019","08:00","Pertunia","Primary sump"
"324",37,"01/02/2019","08:00","Pertunia","Primary sump"
"325",38,"01/02/2019","12:58","Pertunia","Primary sump"
"326",38,"01/02/2019","12:58","Pertunia","Primary sump"
"327",38,"01/02/2019","12:58","Pertunia","Primary sump"
"328",38,"01/02/2019","12:58","Pertunia","Primary sump"
"329",38,"01/02/2019","12:58","Pertunia","Primary sump"
"330",38,"01/02/2019","12:58","Pertunia","Primary sump"
"331",38,"01/02/2019","12:58","Pertunia","Primary sump"
"332",38,"01/02/2019","12:58","Pertunia","Primary sump"
"333",39,"02/02/2019","08:00","Pertunia","Primary sump"
"334",39,"02/02/2019","08:00","Pertunia","Primary sump"
"335",39,"02/02/2019","08:00","Pertunia","Primary sump"
"336",39,"02/02/2019","08:00","Pertunia","Primary sump"
"337",39,"02/02/2019","08:00","Pertunia","Primary sump"
"338",39,"02/02/2019","08:00","Pertunia","Primary sump"
"339",40,"02/02/2013","16:28","Pertunia","Primary sump"
"340",40,"02/02/2013","16:28","Pertunia","Primary sump"
"341",40,"02/02/2013","16:28","Pertunia","Primary sump"
"342",40,"02/02/2013","16:28","Pertunia","Primary sump"
"343",40,"02/02/2013","16:28","Pertunia","Primary sump"
"344",40,"02/02/2013","16:28","Pertunia","Primary sump"
"345",41,"03/02/2019","08:23","Pertunia","Primary sump"
"346",41,"03/02/2019","08:23","Pertunia","Primary sump"
"347",42,"03/02/2019","16:00","Pertunia","Primary sump"
"348",42,"03/02/2019","16:00","Pertunia","Primary sump"
"349",43,"04/02/2019","08:00","Pertunia","Primary sump"
"350",43,"04/02/2019","08:00","Pertunia","Primary sump"
"351",43,"04/02/2019","08:00","Pertunia","Primary sump"
"352",43,"04/02/2019","08:00","Pertunia","Primary sump"
"353",43,"04/02/2019","08:00","Pertunia","Primary sump"
"354",43,"04/02/2019","08:00","Pertunia","Primary sump"
"355",43,"04/02/2019","08:00","Pertunia","Primary sump"
"356",43,"04/02/2019","08:00","Pertunia","Primary sump"
"357",43,"04/02/2019","08:00","Pertunia","Primary sump"
"358",43,"04/02/2019","08:00","Pertunia","Primary sump"
"359",44,"04/02/2019","16:00","Pertunia","Primary sump"
"360",44,"04/02/2019","16:00","Pertunia","Primary sump"
"361",44,"04/02/2019","16:00","Pertunia","Primary sump"
"362",44,"04/02/2019","16:00","Pertunia","Primary sump"
"363",44,"04/02/2019","16:00","Pertunia","Primary sump"
"364",44,"04/02/2019","16:00","Pertunia","Primary sump"
"365",45,"05/02/2019","08:00","Pertunia","Primary sump"
"366",45,"05/02/2019","08:00","Pertunia","Primary sump"
"367",45,"05/02/2019","08:00","Pertunia","Primary sump"
"368",45,"05/02/2019","08:00","Pertunia","Primary sump"
"369",45,"05/02/2019","08:00","Pertunia","Primary sump"
"370",45,"05/02/2019","08:00","Pertunia","Primary sump"
"371",45,"05/02/2019","08:00","Pertunia","Primary sump"
"372",45,"05/02/2019","08:00","Pertunia","Primary sump"
"373",45,"05/02/2019","08:00","Pertunia","Primary sump"
"374",45,"05/02/2019","08:00","Pertunia","Primary sump"
"375",45,"05/02/2019","08:00","Pertunia","Primary sump"
"376",46,"05/02/2019","16:26","Pertunia","Primary sump"
"377",46,"05/02/2019","16:26","Pertunia","Primary sump"
"378",46,"05/02/2019","16:26","Pertunia","Primary sump"
"379",46,"05/02/2019","16:26","Pertunia","Primary sump"
"380",46,"05/02/2019","16:26","Pertunia","Primary sump"
"381",46,"05/02/2019","16:26","Pertunia","Primary sump"
"382",46,"05/02/2019","16:26","Pertunia","Primary sump"
"383",46,"05/02/2019","16:26","Pertunia","Primary sump"
"384",46,"05/02/2019","16:26","Pertunia","Primary sump"
"385",46,"05/02/2019","16:26","Pertunia","Primary sump"
"386",46,"05/02/2019","16:26","Pertunia","Primary sump"
"387",46,"05/02/2019","16:26","Pertunia","Primary sump"
"388",47,"06/02/2019","08:20","Pertunia","Primary sump"
"389",47,"06/02/2019","08:20","Pertunia","Primary sump"
"390",47,"06/02/2019","08:20","Pertunia","Primary sump"
"391",47,"06/02/2019","08:20","Pertunia","Primary sump"
"392",47,"06/02/2019","08:20","Pertunia","Primary sump"
"393",47,"06/02/2019","08:20","Pertunia","Primary sump"
"394",47,"06/02/2019","08:20","Pertunia","Primary sump"
