"","RowCode","Date","Time","Counted.by.","Site","Volume.Filtered..ml.","Frames.counted","Volume.counted","Volume.counted_all","Species","Cells.Counted","Cells.L","SRC_method","Correct.Original","Div.Src.by.this","Classification","dateTime","months","month","year","Season","YEarMonth","SeasonOrder","totalCells","RedTide","FWC_mod"
"83",83,2017-01-17,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Gonyaulax spinifera","17",142,3541.666667,3542,"25","Dinoflagellate",2017-01-17 08:00:00,"January",1,"2017","Summer",Jan 2017,1,16093.6666666667,"Low (A)","Low"
"84",84,2017-01-17,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Karenia cristata","4",33,833.3333333,833,"25","Dinoflagellate",2017-01-17 08:00:00,"January",1,"2017","Summer",Jan 2017,1,16093.6666666667,"Low (A)","Low"
"85",85,2017-01-17,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Protoperidinium conicum","96",800,20000,20000,"25","Dinoflagellate",2017-01-17 08:00:00,"January",1,"2017","Summer",Jan 2017,1,16093.6666666667,"Low (A)","Low"
"86",86,2017-01-17,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Protoperidinium diabolum","9",75,1875,1875,"25","Dinoflagellate",2017-01-17 08:00:00,"January",1,"2017","Summer",Jan 2017,1,16093.6666666667,"Low (A)","Low"
"87",87,2017-01-17,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Scrippsiella trochoidea","7",58,1458.333333,1458,"25","Dinoflagellate",2017-01-17 08:00:00,"January",1,"2017","Summer",Jan 2017,1,16093.6666666667,"Low (A)","Low"
"88",88,2017-01-17,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Prorocentrum micans","2",17,416.6666667,417,"25","Dinoflagellate",2017-01-17 08:00:00,"January",1,"2017","Summer",Jan 2017,1,16093.6666666667,"Low (A)","Low"
"89",89,2017-01-17,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Pyrophacus sp.","4",33,833.3333333,833,"25","Dinoflagellate",2017-01-17 08:00:00,"January",1,"2017","Summer",Jan 2017,1,16093.6666666667,"Low (A)","Low"
"90",90,2017-01-17,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Lingulodinium polyedra","180",1500,37500,37500,"25","Dinoflagellate",2017-01-17 08:00:00,"January",1,"2017","Summer",Jan 2017,1,16093.6666666667,"Low (A)","Low"
"91",91,2017-01-18,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Chaetoceros sp.","1",10,238.0952381,238,"25","Diatom",2017-01-18 08:00:00,"January",1,"2017","Summer",Jan 2017,1,7116.33333333333,"Very Low (B)","Very Low"
"92",92,2017-01-18,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Ceratium furca","24",229,5714.285714,5714,"25","Dinoflagellate",2017-01-18 08:00:00,"January",1,"2017","Summer",Jan 2017,1,7116.33333333333,"Very Low (B)","Very Low"
"93",93,2017-01-18,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Ceratium tripos","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-18 08:00:00,"January",1,"2017","Summer",Jan 2017,1,7116.33333333333,"Very Low (B)","Very Low"
"94",94,2017-01-18,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Gonyaulax polygramma","159",1514,37857.14286,37857,"25","Dinoflagellate",2017-01-18 08:00:00,"January",1,"2017","Summer",Jan 2017,1,7116.33333333333,"Very Low (B)","Very Low"
"95",95,2017-01-18,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Gonyaulax spinifera","12",114,2857.142857,2857,"25","Dinoflagellate",2017-01-18 08:00:00,"January",1,"2017","Summer",Jan 2017,1,7116.33333333333,"Very Low (B)","Very Low"
"96",96,2017-01-18,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium conicum","29",276,6904.761905,6905,"25","Dinoflagellate",2017-01-18 08:00:00,"January",1,"2017","Summer",Jan 2017,1,7116.33333333333,"Very Low (B)","Very Low"
"97",97,2017-01-18,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium diabolum","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-18 08:00:00,"January",1,"2017","Summer",Jan 2017,1,7116.33333333333,"Very Low (B)","Very Low"
"98",98,2017-01-18,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Zigabikodinium denticulatum","7",67,1666.666667,1667,"25","Dinoflagellate",2017-01-18 08:00:00,"January",1,"2017","Summer",Jan 2017,1,7116.33333333333,"Very Low (B)","Very Low"
"99",99,2017-01-18,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Lingulodinium polyedra","29",276,6904.761905,6905,"25","Dinoflagellate",2017-01-18 08:00:00,"January",1,"2017","Summer",Jan 2017,1,7116.33333333333,"Very Low (B)","Very Low"
"100",100,2017-01-19,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Pseudo-nitzschia australis","7",58,1458.333333,1458,"25","Diatom",2017-01-19 08:00:00,"January",1,"2017","Summer",Jan 2017,1,33333.4444444444,"Low (A)","Low"
"101",101,2017-01-19,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Ceratium furca","59",492,12291.66667,12292,"25","Dinoflagellate",2017-01-19 08:00:00,"January",1,"2017","Summer",Jan 2017,1,33333.4444444444,"Low (A)","Low"
"102",102,2017-01-19,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Gonyaulax polygramma","1253",10442,261041.6667,261042,"25","Dinoflagellate",2017-01-19 08:00:00,"January",1,"2017","Summer",Jan 2017,1,33333.4444444444,"Low (A)","Low"
